"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Views","Show View (View: Script Explorer)","Shift+Alt+Q P","JavaScript View"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Navigate","Open Declaration","F3","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View (View: )","Shift+Alt+Q D","In Windows"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Views","Show View (View: Hierarchy)","Shift+Alt+Q T","JavaScript View"
"View","Zoom In","Ctrl+=","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Debug","F11","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Source","Indent Line","Ctrl+I","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Views","Show View (View: JSDoc)","Shift+Alt+Q J","JavaScript View"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Web Page Editor Layout","Source Code","Shift+Ctrl+F12","Using Web Page Editor"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Views","Show View (View: Package Explorer)","Shift+Alt+Q P","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Views","Show View (View: Declaration)","Shift+Alt+Q D","JavaScript View"
"Views","Show View (View: Variables)","Shift+Alt+Q V","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Task","New Local Task","Insert","In Tasks View"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Run/Debug","Resume","F8","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Web Page Editor Layout","Vertical Layout","Shift+Ctrl+F9","Using Web Page Editor"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Task","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Views","Show View (View: Error Log)","Shift+Alt+Q L","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Views","Show View (View: Javadoc)","Shift+Alt+Q J","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"View","Zoom Out","Ctrl+-","In Windows"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Navigate","Matching Bracket","Shift+Ctrl+P","Editing in Structured Text Editors"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
